하버드 대학교  4  4  XSV
하버드 대학교  7  16  JKC
하버드 대학교  10  10  NNG
하버드 대학교  14  18  JX
하버드 대학교  18  0  NNG
하버드 대학교  18  1  NNG
하버드 대학교  18  5  NR
하버드 대학교  20  18  JC
하버드 대학교  21  0  NNP
하버드 대학교  24  36  NNG
하버드 대학교  25  18  NNG
하버드 대학교  26  35  NNB
하버드 대학교  27  6  NNB
하버드 대학교  28  5  NNG
하버드 대학교  28  18  NNG
하버드 대학교  28  19  NNG
하버드 대학교  29  4  NNG
하버드 대학교  30  1  NNG
하버드 대학교  30  38  NNG
하버드 대학교  30  52  NNG
하버드 대학교  31  19  NNG
하버드 대학교  31  33  NNG
하버드 대학교  31  73  NNG
하버드 대학교  32  2  NNG
하버드 대학교  32  14  NNB
하버드 대학교  33  14  NNG
하버드 대학교  34  9  NNG
하버드 대학교  34  10  JX
원나라  0  0  NNP
원나라  1  0  NNP
원나라  3  5  NNP
원나라  3  6  NNP
엽록체  6  18  NNP  NNG
엽록체  6  27  NNP  NNG
엽록체  6  28  NNP  XSN
엽록체  6  34  NNG  XSN
엽록체  6  37  NNP  NNG
엽록체  7  0  NNP  NNG
엽록체  7  1  NNP  NNG
엽록체  7  5  NNP  XSN
엽록체  7  7  NNP  NNG
엽록체  7  10  NNP  NNG
엽록체  8  0  NNP  NNG
엽록체  8  1  NNP  XSN
엽록체  8  5  NNP  NNG
엽록체  8  7  NNP  NNG
엽록체  8  8  NNP  NNG
엽록체  8  10  NNP  NNG
엽록체  8  11  NNP  XSN
엽록체  8  22  NNP  NNG
엽록체  8  23  NNP  XSN
엽록체  8  31  NNP  XSN
엽록체  9  1  NNP  XSN
엽록체  10  24  NNP  XSN
엽록체  11  3  NNP  NNG
엽록체  12  6  NNP  XSN
엽록체  15  4  NNP  XSN
엽록체  16  4  NNP  XSN
엽록체  17  3  NNG  NNP
엽록체  17  10  NNP  NNG
엽록체  17  15  NNG  NNP
엽록체  18  0  NNG  NNP
엽록체  18  14  NNG  XSN
엽록체  18  20  NNG  NNP
엽록체  19  1  NNP  XSN
엽록체  19  4  NNP  NNG
엽록체  20  20  NNP  NNG
엽록체  20  25  NNP  NNG
엽록체  21  11  NNP  NNG
엽록체  22  8  NNP  XSN
엽록체  23  1  NNP  XSN
엽록체  23  4  NNG  VA
엽록체  23  8  NNG  XSN
엽록체  24  5  NNG  XSN
엽록체  24  15  NNG  XSN
엽록체  24  22  NNB  NNG
엽록체  24  25  NNG  XSN
엽록체  24  31  NNP  XSN
엽록체  25  10  NNG  XSN
엽록체  26  1  NNP  XSN
엽록체  27  1  NNP  XSN
엽록체  29  6  NP  JX
엽록체  29  7  NNP  NNG
엽록체  29  16  NNP  NNG
엽록체  30  1  NNP  XSN
엽록체  30  11  NNP  NNG
제국주의  1  1  NNG  XSN
제국주의  3  42  NNG  XSN
제국주의  8  12  XSN  NNG
제국주의  8  39  NNG  XSN
제국주의  9  19  XSN  NNG
제국주의  10  50  NNP  NNG
제국주의  11  4  MAG  NNG
제국주의  11  25  NNG  NNP
제국주의  13  38  NNG  XSN
제국주의  17  15  NNG  NNB
제국주의  20  10  JKS  JKC
제국주의  21  20  NNP  VA
제국주의  22  26  NNG  NNP
제국주의  24  19  VV  NNG
제국주의  25  23  JKQ  VCP
제국주의  25  24  JKQ  EC
제국주의  25  57  NNG  XSN
제국주의  27  32  NNP  NNG
제국주의  28  8  VV  NNG
제국주의  29  25  JKQ  JX
